Site_Name,Station,Ntwk,Elev,Lat,Lon,state
Ahtanum R.S.,21C11,SNOW,3100,46.52,-121.02,WA
Alpine Meadow,21B48,SNOW,3500,47.78,-121.7,WA
Alpine Meadows,21B48S,SNTL,3500,47.78,-121.7,WA
Baird #2,17A07,SNOW,3159,48.61,-117.55,WA
Beaver Creek Trail,21A04,SNOW,2200,48.82,-121.19,WA
Beaver Pass,21A01,SNOW,3621,48.88,-121.26,WA
Beaver Pass,21A01S,SNTL,3630,48.88,-121.26,WA
Blewett Pass,20B02S,SNTL,4240,47.35,-120.68,WA
Bonaupart South,19A24,SNOW,4740,48.73,-119.17,WA
Boyer Mountain,17A02,SNOW,5250,48.19,-117.43,WA
Brown Top,21A28S,SNTL,5830,48.93,-121.2,WA
Brown Top Ridge AM,21A28,SNOW,6000,48.93,-121.2,WA
Browns Pass,19A20,SNOW,3940,48.48,-119.33,WA
Buckinghorse,23B18S,SNTL,4870,47.71,-123.46,WA
Bumping Lake New,21C36,SNOW,3400,46.88,-121.28,WA
Bumping Ridge,21C38S,SNTL,4610,46.81,-121.33,WA
Bunchgrass Mdw,17A01S,SNTL,5000,48.69,-117.18,WA
Burnt Mountain,21B63S,SNTL,4170,47.04,-121.94,WA
Butte Ck #2,18A16,SNOW,4070,48.85,-118.37,WA
Buttermilk Butte,20A42,SNOW,5250,48.3,-120.32,WA
Calamity,22D01S,SNTL,2500,45.9,-122.22,WA
Cayuse Pass,21C06,SNOW,5270,46.87,-121.53,WA
Cayuse Pass,21C41S,SNTL,5240,46.87,-121.53,WA
Chamokane 2,18A23,SNOW,3550,48.12,-118.01,WA
Chewelah 2,17A08,SNOW,4925,48.3,-117.59,WA
Chiwaukum G.S.,20B16,SNOW,1810,47.69,-120.74,WA
City Cabin,21B03,SNOW,2390,47.32,-121.52,WA
Cloudy Pass AM,20A22,SNOW,6500,48.21,-120.92,WA
Cold Creek Strip,19A18,SNOW,6020,48.92,-119.78,WA
Colockum Pass,20B09,SNOW,5370,47.2,-120.28,WA
Corral Pass,21B13S,SNTL,5800,47.02,-121.46,WA
Cougar Mountain,21B42S,SNTL,3200,47.28,-121.67,WA
Cox Valley,23B14,SNOW,4500,47.97,-123.48,WA
Deer Park,23B04,SNOW,5346,47.95,-123.26,WA
Devils Park,20A04,SNOW,5900,48.75,-120.86,WA
Disautel Pass,19A19,SNOW,3310,48.28,-119.15,WA
Dock Butte AM,21A11,SNOW,3800,48.63,-121.8,WA
Dommerie Flats,21B14,SNOW,2200,47.22,-121.05,WA
Duncan Ridge,19A16,SNOW,5370,48.86,-119.8,WA
Dungeness,23B16S,SNTL,4010,47.87,-123.08,WA
Easy Pass,21A07S,SNTL,5270,48.86,-121.44,WA
Easy Pass AM,21A07,SNOW,5390,48.86,-121.44,WA
Elbow Lake,21A32S,SNTL,3040,48.69,-121.91,WA
Fish Lake,21B04,SNOW,3300,47.53,-121.09,WA
Fish Lake,21B04S,SNTL,3430,47.54,-121.09,WA
Freezeout Cr. Tr.,20A01,SNOW,3500,48.95,-120.93,WA
Frost Meadows Snow Course,21B61,SNOW,4630,47.06,-121.01,WA
Goat Creek,18A04,SNOW,3600,48.85,-118.33,WA
Gold Axe Camp,18A26S,SNTL,5360,48.95,-118.99,WA
Gold Mountain,18A19S,SNTL,4390,48.19,-118.46,WA
Gold Mtn Lookout,18A19,SNOW,4650,48.18,-118.47,WA
Granite Creek,20A06,SNOW,3500,48.6,-120.81,WA
Grass Mtn. No. 2,21B27,SNOW,2900,47.22,-121.76,WA
Green Lake,21C10S,SNTL,5920,46.55,-121.17,WA
Grouse Camp,20B11S,SNTL,5390,47.28,-120.49,WA
Harts Pass,20A05,SNOW,6200,48.72,-120.66,WA
Harts Pass,20A05S,SNTL,6490,48.72,-120.66,WA
Hozomeen Camp,21A35S,SNTL,1690,48.98,-121.08,WA
Huckleberry Creek,21B62S,SNTL,2250,47.07,-121.59,WA
Hurricane,23B03,SNOW,5228,47.97,-123.5,WA
Indian Rock,20D02S,SNTL,5360,45.99,-120.81,WA
Irene's Camp,19A17,SNOW,5530,48.85,-119.95,WA
Jasper Pass AM,21A06,SNOW,5400,48.78,-121.4,WA
June Lake,22C09S,SNTL,3440,46.15,-122.15,WA
